65 -609.021 -608.979 -608.703 -605.873 -615.139 -596.208 -612.07 -595.198 -611.827 -610.192 -611.749 -603.249 -586.808 -597.177 -600.576 
66 -590.583 -590.953 -590.848 -592.874 -593.377 -594.452 -594.465 -593.173 -589.658 -584.62 -589.916 -581.149 -561.55 -579.209 -578.64 
58 -584.57 -596.881 -592.694 -590.779 -587.161 -600.462 -596.389 -591.058 -591.44 -590.639 -587.818 -583.091 -563.509 -577.041 -580.538 
117 -594.494 -598.796 -594.725 -596.79 -593.212 -598.386 -590.354 -601.063 -597.573 -592.485 -593.821 -589.053 -573.494 -583.072 -586.543 
140 -588.508 -592.934 -588.899 -590.691 -584.608 -600.207 -592.446 -598.748 -591.771 -590.458 -592.023 -587.222 -567.617 -577.087 -576.497 
59 -592.514 -596.821 -592.729 -590.793 -595.253 -600.401 -596.385 -591.032 -591.58 -598.505 -595.821 -591.073 -571.494 -577.023 -580.525 
141 -596.552 -600.799 -596.854 -598.832 -599.227 -600.286 -600.492 -599.037 -599.664 -598.445 -599.926 -594.923 -575.459 -585.072 -584.6 
61 -588.534 -592.829 -588.751 -586.79 -591.235 -596.365 -592.379 -587.08 -587.579 -594.513 -591.847 -587.062 -567.525 -573.04 -576.539 
142 -596.563 -600.882 -596.778 -598.811 -599.269 -600.404 -600.419 -599.142 -599.649 -598.525 -599.889 -595.171 -567.532 -585.133 -584.548 
119 -586.514 -598.811 -594.739 -596.767 -593.2 -598.395 -590.364 -593.035 -589.579 -592.466 -593.8 -589.041 -565.471 -583.037 -586.512 
60 -588.508 -600.831 -596.733 -594.784 -591.251 -604.411 -600.392 -595.046 -595.595 -594.525 -591.833 -587.055 -567.514 -581.045 -584.55 
118 -594.509 -598.803 -594.727 -596.769 -593.221 -598.353 -590.366 -593.052 -597.567 -592.477 -593.821 -589.065 -573.505 -583.03 -586.519 
64 -588.535 -588.843 -588.764 -586.795 -595.247 -596.38 -596.398 -595.081 -591.616 -590.503 -591.83 -587.086 -563.507 -577.073 -580.566 
63 -588.516 -596.845 -596.747 -594.808 -595.247 -596.401 -596.392 -595.074 -591.632 -598.523 -599.833 -595.082 -571.501 -577.07 -580.549 
144 -586.523 -586.844 -590.76 -588.813 -585.233 -594.399 -590.376 -589.081 -589.616 -584.528 -589.836 -581.064 -561.525 -579.06 -578.537 
143 -588.541 -592.844 -588.759 -590.807 -591.238 -592.397 -592.396 -591.09 -591.607 -590.521 -591.851 -587.089 -567.515 -577.068 -576.547 
120 -594.606 -598.9 -594.806 -596.88 -593.291 -598.441 -590.448 -593.132 -597.676 -592.58 -593.902 -589.128 -573.583 -583.143 -586.581 
121 -586.616 -590.907 -586.815 -588.89 -593.283 -598.48 -590.443 -593.155 -589.701 -584.568 -585.904 -581.155 -565.617 -575.156 -578.571 
122 -586.585 -590.925 -586.857 -588.882 -593.312 -598.474 -590.441 -593.165 -589.674 -584.61 -585.872 -581.14 -565.502 -575.125 -578.533 
179 -585.623 -597.893 -589.821 -595.896 -592.304 -593.47 -593.478 -588.144 -592.666 -591.588 -592.918 -588.147 -564.583 -570.177 -581.61 
180 -585.617 -597.914 -589.819 -595.89 -592.292 -593.464 -593.465 -588.143 -592.707 -591.608 -592.899 -588.152 -564.521 -570.117 -573.611 
181 -585.614 -597.903 -589.854 -595.884 -592.338 -593.467 -593.448 -588.154 -592.69 -591.587 -592.928 -588.144 -564.591 -570.169 -581.62 
182 -585.6 -597.912 -597.858 -595.885 -592.291 -593.467 -593.465 -588.163 -592.682 -591.567 -592.899 -588.125 -564.603 -570.156 -581.578 
183 -685.586 -697.905 -697.84 -695.88 -692.342 -693.413 -693.473 -688.143 -692.713 -691.583 -692.929 -688.165 -664.567 -670.141 -681.572 
184 -588.588 -592.904 -588.836 -586.889 -591.306 -592.439 -592.442 -587.123 -591.7 -586.583 -587.938 -587.143 -563.588 -577.16 -580.596 
185 -588.623 -592.924 -588.819 -586.871 -591.268 -592.482 -592.465 -587.163 -591.684 -586.587 -587.915 -587.147 -563.518 -577.155 -580.636 
186 -588.61 -600.91 -596.814 -594.889 -591.313 -600.482 -600.475 -595.15 -591.705 -594.625 -595.944 -595.165 -571.586 -577.155 -580.61 
187 -588.618 -592.909 -588.815 -586.906 -591.298 -592.453 -592.468 -587.138 -591.695 -586.607 -587.941 -587.177 -563.576 -569.173 -580.63 
188 -588.632 -592.917 -588.832 -586.882 -591.309 -592.457 -592.455 -587.163 -591.674 -586.617 -587.928 -587.163 -563.59 -569.163 -580.6 
189 -588.623 -592.885 -588.808 -586.875 -591.288 -592.481 -592.437 -587.139 -591.685 -586.561 -587.9 -587.112 -563.568 -577.151 -580.598 
190 -588.612 -600.896 -596.85 -594.896 -599.326 -600.458 -600.488 -595.168 -591.705 -594.622 -595.927 -595.147 -571.618 -577.191 -580.606 
191 -588.603 -592.904 -588.832 -586.874 -591.307 -592.476 -592.463 -587.152 -591.7 -586.584 -587.939 -587.172 -563.578 -577.171 -580.587 
192 -588.623 -592.9 -588.831 -586.889 -591.318 -592.469 -592.466 -587.13 -591.711 -586.588 -587.928 -587.144 -563.577 -569.152 -580.617 
193 -588.599 -600.927 -596.831 -594.889 -591.317 -600.492 -600.464 -595.153 -591.683 -594.632 -595.923 -595.176 -571.575 -577.17 -580.608 
194 -588.624 -600.907 -596.833 -594.885 -591.33 -600.471 -600.459 -595.159 -591.713 -594.632 -595.907 -595.181 -571.583 -577.177 -580.627 
